NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14I,DPTOMPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,91,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,61,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,39,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,17,1,4,2017
1,2,1,4,1,2,2,2,2,2,1,Bogotá,2,17,1,4,2017
2,1,1,4,1,2,2,2,2,2,1,Bogotá,1,86,1,4,2017
1,1,1,6,2,2,1,2,1,2,1,Bogotá,2,82,1,6,2017
2,2,1,4,2,2,1,2,1,2,1,Bogotá,2,75,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,27,1,4,2017
2,2,1,4,2,1,2,2,1,1,1,Bogotá,1,3,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,61,1,4,2017
2,2,1,4,2,2,1,2,2,2,1,Bogotá,2,26,1,4,2017
1,2,1,4,2,2,1,1,1,2,1,Bogotá,1,56,1,4,2017
9,9,1,4,2,2,2,2,2,2,1,Bogotá,1,23,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,43,1,4,2017
2,1,1,4,2,1,1,2,1,2,1,Bogotá,1,72,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,29,1,4,2017
2,2,1,6,2,2,2,2,2,2,1,Bogotá,1,6,1,6,2017
2,2,1,4,1,2,2,2,1,1,1,Bogotá,2,14,1,4,2017
1,2,1,6,2,2,2,2,1,1,1,Bogotá,1,13,1,6,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,65,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,23,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,1,1,4,2017
2,2,1,1,1,2,2,2,2,1,1,Bogotá,1,81,1,1,2017
2,1,1,1,1,2,2,1,1,2,1,Bogotá,2,73,1,1,2017
2,2,1,5,1,2,2,2,2,2,1,Bogotá,2,3,1,5,2017
1,2,1,4,1,2,1,2,1,1,1,Bogotá,1,52,1,4,2017
2,2,1,4,1,2,1,1,1,2,1,Bogotá,1,48,1,4,2017
2,2,1,4,1,2,1,1,1,2,1,Bogotá,2,10,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,5,1,4,2017
2,2,1,1,2,2,1,1,1,2,1,Bogotá,1,57,1,1,2017
1,2,1,4,2,1,2,2,1,1,1,Bogotá,2,76,1,4,2017
2,2,1,6,2,2,2,2,2,2,1,Bogotá,1,6,1,6,2017
2,2,1,3,2,2,2,2,1,2,1,Bogotá,1,13,1,3,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,73,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,35,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,71,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,25,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,44,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,16,1,4,2017
2,2,1,4,2,1,2,2,1,1,1,Bogotá,2,58,1,4,2017
2,2,1,4,2,1,2,2,1,1,1,Bogotá,2,14,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,48,1,4,2017
2,2,1,4,2,2,2,1,1,2,1,Bogotá,2,33,1,4,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,1,38,1,2,2017
2,2,1,2,2,2,2,2,1,2,1,Bogotá,2,66,1,2,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,15,1,4,2017
