NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14F,MPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,80,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,36,1,4,2021
2,2,1,6,2,2,2,2,2,2,1,Bogotá,1,32,1,6,2021
2,2,1,6,2,2,2,2,2,2,1,Bogotá,2,4,1,6,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,73,1,4,2021
2,2,1,6,2,2,2,2,2,1,1,Bogotá,1,79,1,6,2021
2,2,1,6,2,2,2,2,2,1,1,Bogotá,2,62,1,6,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,2,61,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,81,1,4,2021
2,2,1,6,2,2,2,2,2,2,1,Bogotá,2,77,1,6,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,27,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,5,1,4,2021
2,2,1,2,2,1,2,2,2,1,1,Bogotá,2,11,1,2,2021
1,2,1,4,2,2,2,1,2,2,1,Bogotá,1,86,1,4,2021
2,2,1,4,1,2,2,2,1,2,1,Bogotá,1,56,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,41,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,45,1,4,2021
2,2,1,2,2,2,2,2,1,2,1,Bogotá,1,23,1,2,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,26,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,74,1,4,2021
1,2,1,4,2,2,2,1,2,1,1,Bogotá,1,58,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,6,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,79,1,4,2021
1,2,1,6,2,2,2,2,2,2,1,Bogotá,2,57,1,6,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,32,1,2,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,27,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,44,1,4,2021
1,2,1,4,1,2,2,2,1,2,1,Bogotá,2,20,1,4,2021
2,2,1,4,1,1,2,2,2,2,1,Bogotá,1,57,1,4,2021
2,2,1,4,1,1,2,2,2,2,1,Bogotá,2,20,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,42,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,62,1,4,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,1,13,1,2,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,8,1,2,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,60,1,4,2021
1,1,1,4,2,2,2,2,1,2,1,Bogotá,1,5,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,15,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,70,1,4,2021
2,2,1,4,2,2,1,2,2,1,1,Bogotá,2,65,1,4,2021
2,2,1,4,2,1,2,1,1,2,1,Bogotá,1,20,1,4,2021
1,2,1,4,1,1,2,2,1,1,1,Bogotá,2,44,1,4,2021
1,2,1,4,1,1,2,2,1,1,1,Bogotá,1,13,1,4,2021
1,2,1,4,2,2,1,2,1,2,1,Bogotá,2,90,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,24,1,4,2021
1,2,1,4,1,1,2,2,1,2,1,Bogotá,1,42,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,92,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,47,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,46,1,4,2021
2,2,1,4,1,2,1,1,1,2,1,Bogotá,2,93,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,21,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,30,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,29,1,4,2021
2,2,1,4,2,1,2,2,1,2,1,Bogotá,2,78,1,4,2021
1,2,1,4,1,2,2,2,1,1,1,Bogotá,2,25,1,4,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,1,63,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,73,1,4,2021
1,2,1,4,2,1,2,2,1,1,1,Bogotá,2,70,1,4,2021
1,2,1,4,2,1,2,2,1,1,1,Bogotá,1,32,1,4,2021
2,2,1,4,1,1,2,2,2,2,1,Bogotá,2,25,1,4,2021
2,2,1,4,1,2,1,2,2,2,1,Bogotá,1,21,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,7,1,4,2021
2,2,1,5,2,2,2,2,2,2,1,Bogotá,2,33,1,5,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,1,74,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,44,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,38,1,4,2021
2,2,1,6,2,2,2,2,1,2,1,Bogotá,2,85,1,6,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,36,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,62,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,71,1,4,2021
1,2,1,4,2,1,1,1,2,1,1,Bogotá,1,10,1,4,2021
2,2,1,4,1,2,1,2,2,2,1,Bogotá,1,14,1,4,2021
2,2,1,2,2,2,2,2,1,2,1,Bogotá,1,75,1,2,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,1,68,1,2,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,21,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,36,1,4,2021
1,1,1,4,1,2,2,2,1,1,1,Bogotá,2,8,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,65,1,4,2021
1,1,1,4,1,2,2,2,2,2,1,Bogotá,2,40,1,4,2021
1,1,1,4,1,2,2,2,2,2,1,Bogotá,2,76,1,4,2021
1,2,1,4,1,2,2,2,1,2,1,Bogotá,1,49,1,4,2021
1,2,1,4,1,2,1,2,1,2,1,Bogotá,2,27,1,4,2021
1,1,1,4,2,1,1,1,1,1,1,Bogotá,2,24,1,4,2021
2,2,1,4,2,2,2,1,1,1,1,Bogotá,1,11,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,69,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,59,1,4,2021
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,65,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,25,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,57,1,4,2021
1,2,1,5,2,2,1,2,2,2,1,Bogotá,2,24,1,5,2021
9,2,1,4,2,2,1,2,2,2,1,Bogotá,2,14,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,9,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,78,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,38,1,4,2021
2,2,1,6,1,2,2,1,2,2,1,Bogotá,2,69,1,6,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,28,1,4,2021
2,2,1,3,2,2,1,2,2,2,1,Bogotá,1,24,1,3,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,82,1,4,2021
2,2,1,5,2,2,2,1,1,2,1,Bogotá,2,69,1,5,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,29,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,2,88,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,42,1,4,2021
1,2,1,4,1,2,2,1,1,2,1,Bogotá,1,50,1,4,2021
2,2,1,4,2,2,2,1,1,2,1,Bogotá,2,56,1,4,2021
1,2,1,4,2,2,2,1,1,2,1,Bogotá,2,17,1,4,2021
1,2,1,4,2,2,2,1,1,2,1,Bogotá,1,60,1,4,2021
2,2,1,4,2,2,2,1,1,2,1,Bogotá,1,25,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,64,1,4,2021
2,2,1,5,2,1,2,2,1,1,1,Bogotá,2,75,1,5,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,7,1,4,2021
1,2,1,4,1,2,2,2,1,1,1,Bogotá,2,73,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,48,1,4,2021
1,2,1,4,2,2,2,1,2,2,1,Bogotá,2,40,1,4,2021
1,2,1,4,2,2,2,1,2,2,1,Bogotá,1,35,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,74,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,23,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,64,1,4,2021
2,2,1,4,2,2,1,2,1,2,1,Bogotá,1,19,1,4,2021
2,2,1,4,2,2,1,2,1,2,1,Bogotá,2,85,1,4,2021
2,2,1,4,2,2,1,2,1,2,1,Bogotá,1,84,1,4,2021
1,2,1,4,2,2,2,1,1,2,1,Bogotá,1,22,1,4,2021
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,29,1,4,2021
1,2,3,6,2,2,2,2,2,2,1,Bogotá,2,50,3,6,2021
2,2,1,4,1,2,2,2,1,1,1,Bogotá,2,43,1,4,2021
2,2,1,4,1,2,2,2,1,1,1,Bogotá,2,20,1,4,2021
1,2,1,4,1,1,2,2,2,1,1,Bogotá,1,19,1,4,2021
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,25,1,4,2021
2,2,1,5,2,2,2,2,2,2,1,Bogotá,2,80,1,5,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,58,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,84,1,4,2021
1,2,1,4,2,2,2,1,1,1,1,Bogotá,2,56,1,4,2021
2,2,1,4,2,2,2,1,2,1,1,Bogotá,2,35,1,4,2021
1,2,1,4,2,1,2,2,2,1,1,Bogotá,2,46,1,4,2021
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,9,1,4,2021
2,2,1,4,2,1,2,1,2,2,1,Bogotá,2,15,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,52,1,4,2021
1,2,1,5,1,2,2,2,1,2,1,Bogotá,1,22,1,5,2021
1,2,1,5,1,2,2,2,1,2,1,Bogotá,1,18,1,5,2021
1,1,1,5,1,2,2,1,1,2,1,Bogotá,2,39,1,5,2021
2,1,1,5,1,2,2,1,1,1,1,Bogotá,2,75,1,5,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,52,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,87,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,62,1,4,2021
1,2,1,4,1,1,1,2,1,1,1,Bogotá,2,26,1,4,2021
2,2,1,4,2,1,2,2,2,2,1,Bogotá,1,9,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,71,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,72,1,4,2021
2,2,1,6,2,2,2,1,2,2,1,Bogotá,2,41,1,6,2021
1,2,1,4,2,2,2,1,2,2,1,Bogotá,1,16,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,96,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,13,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,5,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,16,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,13,1,4,2021
1,2,1,6,2,2,2,2,2,1,1,Bogotá,2,55,1,6,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,54,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,50,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,16,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,30,1,4,2021
